age,page,sex,psex,reldur,reldur_class,cohab,nkidsliv_class,relsat,prelsat,relint,prelint,tf_kiss,tf_hold,tf_hug,ptf_kiss,ptf_hold,ptf_hug,omo15i1_w2b,omo16i1_w2b,omo17i1_w2b,omo15i2_w2b,omo16i2_w2b,omo17i2_w2b,pomo15i1_w2b,pomo16i1_w2b,pomo17i1_w2b,pomo15i2_w2b,pomo16i2_w2b,pomo17i2_w2b
44,51,"Female","Male",13.08333,"11-20","Cohabiting","3+","8","6",18,18,"6-10x","6-10x","1-5x","1-5x","6-10x","1-5x","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","11 to 20 times"
43,45,"Female","Male",19.5,"11-20","Cohabiting","3+","7","7",17,19,"11-20x","11-20x","6-10x","6-10x","6-10x","1-5x","11 to 20 times","11 to 20 times","6 to 10 times","21 to 50 times","11 to 20 times","6 to 10 times","6 to 10 times","6 to 10 times","1 to 5 times","11 to 20 times","11 to 20 times","6 to 10 times"
40,41,"Female","Male",2.083333,"0-2","Cohabiting","1","9","7",17,22,"21-50x","21-50x","11-20x","6-10x","6-10x","1-5x","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times"
28,23,"Female","Female",4.416667,"3-5","Cohabiting","0","8","10 - Completely satisfied",12,,"> 50x","> 50x","11-20x","11-20x","11-20x","6-10x","More than 50 times","More than 50 times","11 to 20 times","More than 50 times","More than 50 times","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times","21 to 50 times","11 to 20 times","11 to 20 times"
33,31,"Male","Female",14.08333,"11-20","Cohabiting","2","7","9",19,27,"11-20x","1-5x","6-10x","11-20x","11-20x","6-10x","11 to 20 times","1 to 5 times","6 to 10 times","21 to 50 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","6 to 10 times","21 to 50 times","11 to 20 times","11 to 20 times"
51,44,"Male","Female",5,"3-5","Cohabiting","3+","10 - Completely satisfied","10 - Completely satisfied",24,29,"21-50x","21-50x","21-50x","> 50x","1-5x","21-50x","21 to 50 times","21 to 50 times","21 to 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","1 to 5 times","21 to 50 times","More than 50 times","1 to 5 times","21 to 50 times"
41,36,"Male","Female",14,"11-20","Cohabiting","1","3","8",11,,"1-5x","11-20x","0x","6-10x","21-50x","21-50x","1 to 5 times","11 to 20 times","Not at all","11 to 20 times","11 to 20 times","1 to 5 times","6 to 10 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times"
44,53,"Female","Male",23.5,"21+","Cohabiting","2","8","8",20,22,"6-10x","0x","0x","11-20x","6-10x","1-5x","6 to 10 times","Not at all","Not at all","6 to 10 times","1 to 5 times","1 to 5 times","11 to 20 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times"
32,42,"Female","Male",8.083333,"6-10","Cohabiting","0","10 - Completely satisfied","9",26,20,"21-50x","21-50x","21-50x","21-50x","21-50x","21-50x","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times"
38,36,"Male","Female",12.58333,"11-20","Cohabiting","2","7","8",19,20,"11-20x","6-10x","1-5x","11-20x","6-10x","1-5x","11 to 20 times","6 to 10 times","1 to 5 times","11 to 20 times","6 to 10 times","1 to 5 times","11 to 20 times","6 to 10 times","1 to 5 times","11 to 20 times","6 to 10 times","1 to 5 times"
39,44,"Female","Male",16.83333,"11-20","Cohabiting","1","8","9",19,16,"0x","0x","0x","0x","1-5x","0x","Not at all","Not at all","Not at all","1 to 5 times","1 to 5 times","1 to 5 times","Not at all","1 to 5 times","Not at all","1 to 5 times","1 to 5 times","1 to 5 times"
39,33,"Male","Female",8.5,"6-10","Cohabiting","1","7","9",20,23,"11-20x","0x","1-5x","11-20x","6-10x","1-5x","11 to 20 times","Not at all","1 to 5 times","21 to 50 times","Not at all","1 to 5 times","11 to 20 times","6 to 10 times","1 to 5 times","21 to 50 times","11 to 20 times","1 to 5 times"
47,35,"Male","Female",5.416667,"3-5","Separate households","0","7","7",14,19,"1-5x","0x","11-20x","6-10x","6-10x","6-10x","1 to 5 times","Not at all","11 to 20 times","11 to 20 times","1 to 5 times","11 to 20 times","6 to 10 times","6 to 10 times","6 to 10 times","11 to 20 times","11 to 20 times","11 to 20 times"
37,35,"Male","Female",10.41667,"6-10","Cohabiting","2","7","7",17,18,"0x","0x","0x","1-5x","1-5x","1-5x","Not at all","Not at all","Not at all","6 to 10 times","6 to 10 times","6 to 10 times","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","6 to 10 times","6 to 10 times"
27,26,"Male","Female",5,"3-5","Cohabiting","1","8","3",,8,"0x","1-5x","0x","1-5x","1-5x","1-5x","Not at all","1 to 5 times","Not at all","Not at all","1 to 5 times","Not at all","1 to 5 times","1 to 5 times","1 to 5 times","More than 50 times","More than 50 times","More than 50 times"
25,25,"Male","Female",4.416667,"3-5","Separate households","0","6","8",16,25,"21-50x","21-50x","6-10x","1-5x","1-5x","1-5x","21 to 50 times","21 to 50 times","6 to 10 times","21 to 50 times","21 to 50 times","6 to 10 times","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","6 to 10 times","6 to 10 times"
36,58,"Female","Male",9.333333,"6-10","Cohabiting","1","8","10 - Completely satisfied",27,24,"> 50x","11-20x","11-20x","> 50x","11-20x","11-20x","More than 50 times","11 to 20 times","11 to 20 times","More than 50 times","11 to 20 times","11 to 20 times","More than 50 times","11 to 20 times","11 to 20 times","6 to 10 times","1 to 5 times","6 to 10 times"
35,35,"Male","Female",10.91667,"6-10","Cohabiting","2","8","7",21,22,"11-20x","6-10x","1-5x","6-10x","6-10x","1-5x","11 to 20 times","6 to 10 times","1 to 5 times","21 to 50 times","11 to 20 times","6 to 10 times","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times"
45,39,"Male","Female",20.33333,"11-20","Cohabiting","2","8","6",22,23,"1-5x","1-5x","1-5x","1-5x","11-20x","6-10x","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","11 to 20 times","6 to 10 times","1 to 5 times","11 to 20 times","11 to 20 times"
35,33,"Male","Female",11.25,"11-20","Cohabiting","0","6","8",19,,"1-5x","11-20x","6-10x","21-50x","> 50x","21-50x","1 to 5 times","11 to 20 times","6 to 10 times","No answer","No answer","No answer","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times"
22,21,"Male","Male",,,"Cohabiting","0","8","7",18,21,"> 50x","1-5x","21-50x","21-50x","11-20x","6-10x","More than 50 times","1 to 5 times","21 to 50 times","More than 50 times","1 to 5 times","21 to 50 times","21 to 50 times","11 to 20 times","6 to 10 times","21 to 50 times","6 to 10 times","6 to 10 times"
